iter	Passed	Remaining
0	5	1121
1	11	1108
2	16	1108
3	22	1102
4	29	1136
5	34	1121
6	40	1107
7	45	1103
8	51	1094
9	57	1088
10	62	1077
11	68	1069
12	74	1069
13	80	1064
14	85	1057
15	91	1052
16	97	1048
17	103	1045
18	108	1038
19	114	1032
20	120	1027
21	126	1020
22	131	1014
23	139	1021
24	145	1020
25	151	1017
26	158	1014
27	164	1009
28	170	1004
29	176	999
30	182	996
31	189	993
32	195	989
33	201	983
34	207	977
35	213	974
36	220	970
37	226	965
38	232	960
39	238	955
40	245	950
41	251	945
42	257	941
43	263	935
44	269	929
45	276	924
46	281	917
47	288	913
48	294	907
49	300	901
50	307	896
51	313	891
52	319	887
53	326	881
54	332	877
55	338	870
56	344	863
57	350	857
58	355	849
59	361	842
60	366	835
61	372	828
62	378	823
63	385	818
64	391	812
65	397	807
66	404	802
67	410	796
68	415	789
69	421	783
70	427	777
71	433	770
72	439	764
73	445	758
74	451	751
75	457	746
76	463	740
77	469	733
78	475	728
79	481	722
80	487	716
81	494	711
82	500	705
83	507	700
84	513	694
85	519	688
86	525	682
87	531	676
88	537	669
89	543	664
90	550	658
91	556	653
92	562	647
93	568	641
94	574	635
95	580	629
96	586	623
97	592	617
98	599	611
99	605	605
100	611	599
101	618	594
102	626	589
103	632	584
104	640	579
105	646	573
106	653	568
107	659	562
108	666	556
109	672	550
110	677	543
111	683	537
112	689	530
113	695	524
114	701	518
115	707	512
116	712	505
117	718	499
118	724	493
119	731	487
120	737	481
121	743	475
122	748	468
123	754	462
124	760	456
125	766	449
126	772	443
127	778	437
128	784	431
129	790	425
130	795	419
131	801	412
132	807	406
133	813	400
134	818	394
135	824	388
136	830	381
137	836	375
138	842	369
139	848	363
140	854	357
141	859	351
142	866	345
143	872	339
144	878	333
145	884	327
146	890	320
147	896	314
148	902	308
149	908	302
150	914	296
151	920	290
152	925	284
153	931	278
154	937	272
155	943	266
156	949	259
157	954	253
158	960	247
159	966	241
160	972	235
161	978	229
162	984	223
163	990	217
164	995	211
165	1001	205
166	1007	199
167	1013	192
168	1018	186
169	1024	180
170	1030	174
171	1036	168
172	1042	162
173	1048	156
174	1053	150
175	1059	144
176	1065	138
177	1070	132
178	1076	126
179	1082	120
180	1087	114
181	1093	108
182	1099	102
183	1105	96
184	1110	90
185	1116	84
186	1122	78
187	1128	72
188	1133	65
189	1140	60
190	1146	54
191	1153	48
192	1159	42
193	1165	36
194	1172	30
195	1177	24
196	1183	18
197	1189	12
198	1195	6
199	1201	0
