Feature,Status,Ranking
age,Selected,1
avg_glucose_level,Selected,1
age_glucose,Selected,1
bmi,Selected,1
age_bmi,Selected,1
age_group_senior,Selected,1
age_group_young_adult,Selected,1
cardio_risk,Rejected,2
age_group_child,Rejected,3
age_hypertension,Rejected,4
ever_married_Yes,Rejected,5
age_group_adult,Rejected,6
glucose_hypertension,Rejected,7
work_type_children,Rejected,8
age_heart_disease,Rejected,9
hypertension,Rejected,10
age_group_middle_aged,Rejected,10
glucose_risk_diabetic,Rejected,12
heart_disease,Rejected,13
bmi_category_obese,Rejected,14
work_type_Self-employed,Rejected,15
glucose_risk_normal,Rejected,16
smoking_status_never smoked,Rejected,17
smoking_status_formerly smoked,Rejected,17
bmi_category_normal,Rejected,19
smoking_status_Unknown,Rejected,19
glucose_risk_pre_diabetic,Rejected,21
bmi_category_overweight,Rejected,22
Residence_type_Urban,Rejected,23
gender_Male,Rejected,24
smoking_status_smokes,Rejected,25
work_type_Private,Rejected,25
work_type_Govt_job,Rejected,27
gender_Female,Rejected,28
glucose_risk_low,Rejected,29
bmi_category_underweight,Rejected,29
work_type_Never_worked,Rejected,31
gender_Other,Rejected,32
