Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC,PR-AUC,MCC,Kappa,FPR,FNR,Brier Score,Log Loss
XGBoost A (Original),0.91,0.2237,0.34,0.9393,0.2698,0.8027,0.2136,0.2296,0.224,0.0607,0.66,0.0654,0.2311
XGBoost B (Original+SMOTE),0.9335,0.25,0.18,0.9722,0.2093,0.7951,0.1651,0.1781,0.1755,0.0278,0.82,0.0555,0.1998
XGBoost C (Engineered),0.9178,0.2424,0.32,0.9486,0.2759,0.8219,0.219,0.2357,0.2332,0.0514,0.68,0.0602,0.2156
XGBoost D (Eng+Boruta),0.8992,0.2211,0.42,0.9239,0.2897,0.8144,0.1868,0.2555,0.241,0.0761,0.58,0.072,0.2426
XGBoost E (Eng+Boruta+SMOTE),0.8943,0.1778,0.32,0.9239,0.2286,0.8194,0.1548,0.1856,0.1768,0.0761,0.68,0.0729,0.2382
XGBoost,0.8943,0.1778,0.32,0.9239,0.2286,0.8194,0.1548,0.1856,0.1768,0.0761,0.68,0.0729,0.2382
Random Forest,0.8268,0.164,0.62,0.8374,0.2594,0.8207,0.1822,0.2542,0.1973,0.1626,0.38,0.1094,0.3301
ExtraTrees,0.7975,0.166,0.78,0.7984,0.2737,0.8389,0.2165,0.2965,0.2099,0.2016,0.22,0.13,0.3825
LightGBM,0.9061,0.1714,0.24,0.9403,0.2,0.8168,0.1542,0.154,0.1516,0.0597,0.76,0.0655,0.2203
CatBoost,0.8992,0.1882,0.32,0.929,0.237,0.8105,0.1604,0.1945,0.1869,0.071,0.68,0.0741,0.2421
